epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,189.988,1.20803,0.92423,1.07615,0.75371,0.65546,0.69839,0.41557,1.5005,1.12691,1.24907,0.000540037,0.000540037,0.000540037
43,194.379,1.19272,0.90256,1.07563,0.723,0.64674,0.6943,0.40607,1.49895,1.18847,1.25018,0.000531038,0.000531038,0.000531038
44,198.805,1.1835,0.88875,1.07748,0.74654,0.64717,0.68857,0.40063,1.48829,1.20876,1.25632,0.000522039,0.000522039,0.000522039
45,203.184,1.18138,0.86752,1.07558,0.75462,0.65295,0.71323,0.42355,1.50231,1.18404,1.26401,0.00051304,0.00051304,0.00051304
46,207.666,1.19955,0.88164,1.0761,0.76719,0.69962,0.71798,0.42461,1.49964,1.13401,1.26576,0.00050404,0.00050404,0.00050404
47,212.123,1.13983,0.85405,1.04999,0.81339,0.69525,0.73797,0.43318,1.49107,1.07455,1.24066,0.000495041,0.000495041,0.000495041
48,216.541,1.15943,0.8469,1.06638,0.73247,0.70076,0.73752,0.44145,1.50466,1.0872,1.25088,0.000486042,0.000486042,0.000486042
49,221.139,1.16667,0.84193,1.05529,0.74306,0.66352,0.72071,0.42549,1.4758,1.11233,1.25132,0.000477043,0.000477043,0.000477043
50,225.542,1.17715,0.84281,1.06694,0.80903,0.68638,0.74514,0.44456,1.48225,1.07166,1.2464,0.000468044,0.000468044,0.000468044
51,229.873,1.15389,0.84566,1.06574,0.79587,0.69217,0.75625,0.44965,1.48908,1.08313,1.2507,0.000459045,0.000459045,0.000459045
52,234.258,1.16114,0.84507,1.06507,0.74876,0.67197,0.73936,0.43042,1.49029,1.0467,1.2504,0.000450046,0.000450046,0.000450046
53,238.669,1.15432,0.82587,1.05577,0.75558,0.67533,0.73215,0.42766,1.48912,1.07576,1.25135,0.000441047,0.000441047,0.000441047
54,243.026,1.1266,0.81804,1.03505,0.75441,0.69785,0.7385,0.42659,1.50095,1.09779,1.25727,0.000432048,0.000432048,0.000432048
55,247.47,1.14187,0.81631,1.04849,0.74362,0.69037,0.73306,0.43144,1.49215,1.08702,1.2609,0.000423049,0.000423049,0.000423049
56,251.83,1.13058,0.81015,1.04823,0.78469,0.68076,0.75279,0.44593,1.45914,1.03426,1.23824,0.000414049,0.000414049,0.000414049
57,256.19,1.12689,0.80519,1.05097,0.79929,0.69398,0.74778,0.43956,1.49627,1.07808,1.25916,0.00040505,0.00040505,0.00040505
58,260.51,1.12536,0.79379,1.038,0.77369,0.66241,0.74618,0.436,1.48131,1.04142,1.26659,0.000396051,0.000396051,0.000396051
59,264.902,1.1238,0.79048,1.04177,0.81888,0.64279,0.72643,0.42978,1.46428,1.0549,1.24871,0.000387052,0.000387052,0.000387052
60,269.243,1.11151,0.77709,1.0415,0.81217,0.66188,0.7372,0.43537,1.47108,1.04482,1.25023,0.000378053,0.000378053,0.000378053
61,273.674,1.07848,0.76436,1.02732,0.74595,0.7167,0.7485,0.44748,1.481,1.02837,1.24768,0.000369054,0.000369054,0.000369054
62,278.086,1.08173,0.76215,1.03704,0.81903,0.67311,0.75404,0.44911,1.47184,1.05415,1.2393,0.000360055,0.000360055,0.000360055
63,282.464,1.09687,0.77212,1.02387,0.79733,0.65218,0.74136,0.44567,1.46866,1.05837,1.23987,0.000351056,0.000351056,0.000351056
64,286.857,1.09881,0.75559,1.03774,0.79412,0.65037,0.72189,0.43693,1.46985,1.0496,1.25145,0.000342057,0.000342057,0.000342057
65,291.432,1.04946,0.73945,1.01561,0.75545,0.68979,0.74141,0.44865,1.49126,1.06247,1.26124,0.000333058,0.000333058,0.000333058
66,295.795,1.06224,0.74033,1.01814,0.75916,0.70371,0.75628,0.45299,1.47519,1.02363,1.25799,0.000324058,0.000324058,0.000324058
67,300.332,1.09523,0.76044,1.02794,0.78084,0.69514,0.74806,0.44089,1.48932,1.0513,1.26159,0.000315059,0.000315059,0.000315059
68,304.724,1.07713,0.73897,1.02107,0.81406,0.67371,0.7535,0.45269,1.46897,1.05506,1.24073,0.00030606,0.00030606,0.00030606
69,309.169,1.11476,0.75676,1.03814,0.79269,0.68135,0.73545,0.4208,1.48954,1.07676,1.24575,0.000297061,0.000297061,0.000297061
70,313.573,1.05822,0.73635,1.01244,0.74455,0.69195,0.73709,0.44813,1.46239,1.03478,1.24122,0.000288062,0.000288062,0.000288062
71,317.991,1.04763,0.72198,1.01339,0.80455,0.6948,0.75386,0.44858,1.47569,1.02512,1.24577,0.000279063,0.000279063,0.000279063
72,322.353,1.07884,0.72954,1.02737,0.81507,0.68598,0.7529,0.45584,1.463,1.02764,1.2481,0.000270064,0.000270064,0.000270064
73,326.797,1.06868,0.7325,1.01836,0.79241,0.67329,0.73945,0.44071,1.47767,1.0439,1.25618,0.000261065,0.000261065,0.000261065
74,331.154,1.06099,0.72663,1.00181,0.77767,0.67816,0.73914,0.43996,1.48901,1.05766,1.26126,0.000252066,0.000252066,0.000252066
75,335.535,1.03223,0.69811,1.00949,0.7731,0.66469,0.71937,0.43667,1.4703,1.04866,1.24736,0.000243067,0.000243067,0.000243067
76,339.903,1.02772,0.69931,1.00324,0.78631,0.66291,0.72518,0.43645,1.45885,1.03603,1.24298,0.000234068,0.000234068,0.000234068
77,344.293,1.02794,0.69288,1.00433,0.79448,0.65962,0.72975,0.44132,1.46252,1.01221,1.2611,0.000225068,0.000225068,0.000225068
78,348.884,1.00026,0.69209,0.98999,0.81409,0.66237,0.75217,0.45401,1.4609,1.02236,1.25297,0.000216069,0.000216069,0.000216069
79,353.29,1.0115,0.68224,0.9966,0.7964,0.69429,0.76654,0.46743,1.45386,1.01842,1.23819,0.00020707,0.00020707,0.00020707
